age	sex	typ	D	rate
0	M	Colon	0	0
5	M	Colon	2	0.25
10	M	Colon	0	0
15	M	Colon	3	0.3
20	M	Colon	4	0.39
25	M	Colon	13	1.36
30	M	Colon	18	1.89
35	M	Colon	50	4.81
40	M	Colon	51	5.42
45	M	Colon	94	12.68
50	M	Colon	173	26.23
55	M	Colon	316	49.31
60	M	Colon	492	78.05
65	M	Colon	737	134.35
70	M	Colon	870	189.61
75	M	Colon	853	267.27
80	M	Colon	602	342.5
85	M	Colon	279	359.19
90	M	Colon	95	347.54
0	F	Colon	0	0
5	F	Colon	0	0
10	F	Colon	1	0.11
15	F	Colon	7	0.73
20	F	Colon	8	0.82
25	F	Colon	5	0.55
30	F	Colon	27	2.96
35	F	Colon	38	3.83
40	F	Colon	75	8.29
45	F	Colon	124	16.92
50	F	Colon	231	34.36
55	F	Colon	338	50.22
60	F	Colon	511	73.67
65	F	Colon	695	109.04
70	F	Colon	1006	171.59
75	F	Colon	1081	225.24
80	F	Colon	903	281.2
85	F	Colon	522	316.19
90	F	Colon	174	263.4
0	M	Rectum	0	0
5	M	Rectum	0	0
10	M	Rectum	0	0
15	M	Rectum	1	0.1
20	M	Rectum	1	0.1
25	M	Rectum	2	0.21
30	M	Rectum	11	1.15
35	M	Rectum	19	1.83
40	M	Rectum	43	4.57
45	M	Rectum	81	10.92
50	M	Rectum	157	23.81
55	M	Rectum	273	42.6
60	M	Rectum	402	63.77
65	M	Rectum	533	97.16
70	M	Rectum	601	130.99
75	M	Rectum	539	168.88
80	M	Rectum	312	177.51
85	M	Rectum	180	231.73
90	M	Rectum	67	245.11
0	F	Rectum	0	0
5	F	Rectum	0	0
10	F	Rectum	0	0
15	F	Rectum	0	0
20	F	Rectum	1	0.1
25	F	Rectum	3	0.33
30	F	Rectum	4	0.44
35	F	Rectum	26	2.62
40	F	Rectum	29	3.21
45	F	Rectum	75	10.24
50	F	Rectum	104	15.47
55	F	Rectum	193	28.67
60	F	Rectum	251	36.19
65	F	Rectum	369	57.89
70	F	Rectum	430	73.34
75	F	Rectum	427	88.97
80	F	Rectum	318	99.03
85	F	Rectum	184	111.45
90	F	Rectum	79	119.59
0	M	Lung	0	0
5	M	Lung	0	0
10	M	Lung	0	0
15	M	Lung	1	0.1
20	M	Lung	8	0.78
25	M	Lung	4	0.42
30	M	Lung	7	0.73
35	M	Lung	46	4.43
40	M	Lung	116	12.32
45	M	Lung	262	35.33
50	M	Lung	592	89.76
55	M	Lung	1089	169.95
60	M	Lung	1884	298.86
65	M	Lung	2206	402.13
70	M	Lung	2308	503.02
75	M	Lung	1824	571.51
80	M	Lung	891	506.93
85	M	Lung	305	392.66
90	M	Lung	62	226.82
0	F	Lung	0	0
5	F	Lung	0	0
10	F	Lung	0	0
15	F	Lung	0	0
20	F	Lung	4	0.41
25	F	Lung	1	0.11
30	F	Lung	14	1.53
35	F	Lung	35	3.52
40	F	Lung	109	12.05
45	F	Lung	209	28.52
50	F	Lung	421	62.62
55	F	Lung	650	96.57
60	F	Lung	795	114.62
65	F	Lung	843	132.26
70	F	Lung	773	131.85
75	F	Lung	621	129.39
80	F	Lung	336	104.63
85	F	Lung	135	81.77
90	F	Lung	40	60.55
